station_eu_code;banda;wday;week;coordx;coordy;Intercept;rest;oldvalue.x;oldvalue.y;altitudedem;d_a2;clc_arable_agri;tipo_zona;value;t2m;tp;dtr;wspeed;pblmax;pblmin;pwspeed;rh;nirradiance;sp;weekend;day;evalue;mm
IT1876A;1;7;9;536341;5058970;1;0;22.5790229166667;16;0.28458151716653374;0.3521124058102583;-0.05364428144935366;S;-0.34262112466539074;-0.3439164671053996;0.7951638268650052;-3.5628160414069256;-0.34186389903304903;-0.9192923702661957;0.21023395229634756;-0.09555220879477494;2.055964817992634;-1.323973155705681;-0.24996708000480106;1;1;0.7099071269145456;3
IT1588A;1;7;9;486038;5073725;1;0;43.07749375;27;0.726145081736945;-0.04862563600782308;-0.5192086788242876;U;-0.4657856535989544;-0.41005424924105305;0.3092303771141687;-2.6403011735426327;-0.24579220651098754;-0.5554058070358265;0.28031193639513;-0.252900498087904;2.2413386950247567;-0.9169981561193044;-0.3213862457204585;1;1;0.62764180239155265;3
IT1735A;1;7;9;500744;4982981;1;0;17.2748725;16;-0.3759391868602799;-0.20428617108735864;0.7777207138630283;U;-0.07620578130401823;-0.44973691852244546;0.42703242553861387;-3.053842321205937;-0.9747465887807979;-1.5130020260631136;0.14015596819756498;-0.07816272548032938;1.9211474528783632;-1.4387609761018387;-0.22854133029010437;1;1;0.9266255047339194;3
IT1648A;1;7;9;509791;5063748;1;0;38.81213125;23;0.5254343705685762;0.20137667443961416;-0.7852454773242499;S;-0.5214734418057425;-0.4100542492410534;0.4859334497508364;-2.862977176130566;-0.3357337157924509;-0.8426846727440125;0.28031193639513;-0.34176719279950374;2.0559648179926344;-1.1270076911622742;-0.3213862457204585;1;1;0.5936452015847885;3
IT1392A;1;7;9;673588;4991023;1;0;11.1270854166667;11;-0.6423370398655693;0.032460864666533105;0.7112115142380379;R;-0.011384091276441577;-0.30423379782400706;1.2221962524036192;-3.3083291813064317;0.6183332931454751;-1.2831789334965644;0.56062387279026;0.7635733775657915;0.9605737264391809;-1.6161603348959004;-0.26187027429074394;1;1;0.9886804622971835;3
IT2230A;1;7;9;619735;4975702;1;0;44.4838941666667;23;-0.609493468947109;-0.2397925401567856;-0.6854816778867641;U;-0.6575400589403912;-0.34391646710539936;0.8393395950241721;-3.531005183894364;0.21286634386362602;-0.7852288996023752;0.4204679045926951;-0.027187083103052845;1.1038171768730942;-1.5887677868468173;-0.26425091314793314;1;1;0.5181243234080434;3
IT1251A;1;7;9;596182;5043524;1;0;64.24288125;42;-0.15333276174627086;-0.12434506916083339;-0.8517546769492405;U;-0.4241785617487239;-0.26455112854261487;0.9129658752894504;-3.6900594714571735;-0.2815476362816455;-0.8426846727440127;0.2102339522963475;0.08337431010947116;1.6093822960516109;-1.4022375787030612;-0.27377346857668683;1;1;0.6543070372684003;3
IT1463A;1;7;9;547676;5052075;1;0;26.8379958333333;13;-0.02195847807242949;-0.16346151991200916;0.7112115142380379;S;-0.7209255442933342;-0.3439164671053996;0.8098890829180607;-3.7536811864822974;-0.19968166895392303;-0.8043808239829211;0.07007798409878252;0.1046846083895725;1.9379996235176473;-1.3422348544050697;-0.31424432914889383;1;1;0.4863019536067323;3
IT1826A;1;7;9;530733;5077396;1;0;21.7761166666667;21;0.04737794942209791;-0.27217689262042943;-0.8517546769492405;U;-0.03612243807782134;-0.37037157995966086;0.7804385708119495;-3.3719508963315556;-0.209078654416752;-0.9192923702661957;0.21023395229634756;-0.10917061222196789;2.283469121622968;-1.3083202711062052;-0.25948963543355485;1;1;0.9645221920100061;3
IT1692A;1;7;9;518432;5036116;1;0;48.0987358333333;27;-0.262811331474472;-0.08948006620696662;-0.8517546769492405;U;-0.5757990653027467;-0.39682669281392247;0.4859334497508364;-2.862977176130566;0.008417073833311473;-0.7660769752218297;0;-0.06046948100616234;1.8621648556408694;-1.257448396157908;-0.19045110857508654;1;1;0.5622554104678025;3
